dataset,cell_id,source_key,param_id,cfg_file,n_eocv2_files,n_log_age_files,best_log_age_resolution_s,age_temp,age_chg_rate,age_dischg_rate,age_soc_min,age_soc_max,age_dod,cfg_columns,metadata_status,filter_reason,active_for_features,parse_status,selected_eocv2_file,selected_log_age_file,alignment_method,n_eocv2_points,n_log_age_points,n_aligned_eocv2_points,n_interpolated_cycles,cap_timestamp_min,cap_timestamp_max,efc_timestamp_min,efc_timestamp_max,efc_max,aligned_efc_max,log_age_has_capacity,q0,last_cycle,last_qdis,min_qdis,max_qdis,raw_eocv2_min_efc,raw_eocv2_max_efc,cycle_life_0p9,cycle_life_0p85,cycle_life_0p8,cycle_life,is_censored
luh,luh_P017_1_S01_C08,P017_1_S01_C08,17,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P017_1_S01_C08.csv,1,1,30.0,0.0,0.33,0.33,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P017_1_S01_C08.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P017_1_S01_C08.csv,log_age_capacity,1364,511312,9,502,1665615207.0,1680725680.0,5700.0,15345030.0,502.9285,502.3523,1,2.937356866986508,502,1.8301595700150781,1.8301595700150781,2.9523,1.1125,502.3523,76.0,139.0,312.0,139.0,0
luh,luh_P017_2_S04_C07,P017_2_S04_C07,17,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P017_2_S04_C07.csv,1,1,30.0,0.0,0.33,0.33,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P017_2_S04_C07.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P017_2_S04_C07.csv,log_age_capacity,1293,511444,9,472,1665615176.0,1680724924.0,5700.0,15348990.0,472.7616,472.1763,1,2.9376163001957067,472,1.7915045187465028,1.7915045187465028,2.9534,1.1118,472.1763,70.0,127.0,267.0,127.0,0
luh,luh_P017_3_S05_C05,P017_3_S05_C05,17,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P017_3_S05_C05.csv,1,1,30.0,0.0,0.33,0.33,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P017_3_S05_C05.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P017_3_S05_C05.csv,log_age_capacity,1274,511314,9,464,1665615161.0,1680725108.0,5700.0,15345090.0,464.7122,464.1396,1,2.9351541823191876,464,1.8178988545925934,1.8178988545925934,2.9507,1.1109,464.1396,69.0,126.0,257.0,126.0,0
luh,luh_P018_1_S01_C06,P018_1_S01_C06,18,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P018_1_S01_C06.csv,1,1,30.0,0.0,0.33,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P018_1_S01_C06.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P018_1_S01_C06.csv,log_age_capacity,1152,328551,7,409,1665613371.0,1675280965.0,5700.0,9862200.0,410.517,409.9902,1,2.935897061389203,409,1.7537340718470553,1.7537340718470553,2.9525,1.1105,409.9902,65.0,109.0,203.0,109.0,0
luh,luh_P018_2_S02_C06,P018_2_S02_C06,18,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P018_2_S02_C06.csv,1,1,30.0,0.0,0.33,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P018_2_S02_C06.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P018_2_S02_C06.csv,log_age_capacity,1156,328562,7,410,1665613371.0,1675281060.0,5700.0,9862530.0,410.7133,410.1851,1,2.934107237041611,410,1.7651537550373355,1.7651537550373355,2.9507,1.111,410.1851,64.0,107.0,199.0,107.0,0
luh,luh_P018_3_S04_C05,P018_3_S04_C05,18,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P018_3_S04_C05.csv,1,1,30.0,0.0,0.33,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P018_3_S04_C05.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P018_3_S04_C05.csv,log_age_capacity,1047,268391,6,369,1665613489.0,1673466716.0,5700.0,8057400.0,370.5283,369.9734,1,2.935272469981899,369,1.8058859890641008,1.8058859890641008,2.9521,1.1102,369.9734,64.0,107.0,191.0,107.0,0
luh,luh_P019_1_S01_C04,P019_1_S01_C04,19,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P019_1_S01_C04.csv,1,1,30.0,0.0,1.0,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P019_1_S01_C04.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P019_1_S01_C04.csv,log_age_capacity,359,88641,3,132,1665613343.0,1668026482.0,5700.0,2664900.0,133.1508,132.5541,1,2.9279162585978415,132,1.9401698525109703,1.9401698525109703,2.9452,1.1079,132.5541,44.0,63.0,82.0,63.0,0
luh,luh_P019_2_S02_C04,P019_2_S02_C04,19,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P019_2_S02_C04.csv,1,1,30.0,0.0,1.0,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P019_2_S02_C04.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P019_2_S02_C04.csv,log_age_capacity,346,88609,3,125,1665613315.0,1668026412.0,5700.0,2663940.0,126.5297,125.9287,1,2.919848558507497,125,1.95133238781268,1.95133238781268,2.9372,1.1042,125.9287,44.0,62.0,79.0,62.0,0
luh,luh_P019_3_S05_C02,P019_3_S05_C02,19,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P019_3_S05_C02.csv,1,1,30.0,0.0,1.0,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P019_3_S05_C02.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P019_3_S05_C02.csv,log_age_capacity,328,88604,3,117,1665613381.0,1668026655.0,5700.0,2663790.0,118.4199,117.8108,1,2.9358558968017427,117,1.982080416599155,1.982080416599155,2.9533,1.1116,117.8108,44.0,60.0,77.0,60.0,0
luh,luh_P021_1_S02_C08,P021_1_S02_C08,21,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P021_1_S02_C08.csv,1,1,30.0,0.0,0.33,0.33,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P021_1_S02_C08.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P021_1_S02_C08.csv,log_age_capacity,2761,935316,16,937,1665615141.0,1693502400.0,5700.0,28065150.0,937.6752,937.1949,1,2.9404277229792948,937,1.6906476009331997,1.6906476009331997,2.9482,1.1095,937.1949,221.0,451.0,707.0,451.0,0
luh,luh_P021_2_S03_C08,P021_2_S03_C08,21,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P021_2_S03_C08.csv,1,1,30.0,0.0,0.33,0.33,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P021_2_S03_C08.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P021_2_S03_C08.csv,log_age_capacity,2651,811848,15,911,1665615200.0,1689796071.0,5700.0,24361110.0,911.6097,911.0713,1,2.949218753329498,911,1.7822869193454167,1.7822869193454167,2.958,1.1145,911.0713,209.0,428.0,678.0,428.0,0
luh,luh_P021_3_S04_C08,P021_3_S04_C08,21,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P021_3_S04_C08.csv,1,1,30.0,0.0,0.33,0.33,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P021_3_S04_C08.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P021_3_S04_C08.csv,log_age_capacity,2643,811880,15,888,1665615252.0,1689795406.0,5700.0,24362070.0,889.4491,888.9201,1,2.9363381712533636,888,1.7366559267723463,1.7366559267723463,2.9448,1.1082,888.9201,211.0,430.0,667.0,430.0,0
luh,luh_P022_1_S03_C06,P022_1_S03_C06,22,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P022_1_S03_C06.csv,1,1,30.0,0.0,0.33,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P022_1_S03_C06.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P022_1_S03_C06.csv,log_age_capacity,1635,391827,8,561,1665613414.0,1677267459.0,5700.0,11760480.0,565.0837,561.2883,1,2.953872654715128,561,1.9446327478151966,1.9446327478151966,2.9618,1.1144,561.2883,181.0,341.0,483.0,341.0,0
luh,luh_P022_2_S04_C06,P022_2_S04_C06,22,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P022_2_S04_C06.csv,1,1,30.0,0.0,0.33,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P022_2_S04_C06.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P022_2_S04_C06.csv,log_age_capacity,1605,389052,8,549,1665613485.0,1677095715.0,5700.0,11677230.0,550.5403,549.9899,1,2.942622295788685,549,1.8199545325703956,1.8199545325703956,2.9514,1.1106,549.9899,177.0,344.0,453.0,344.0,0
luh,luh_P022_3_S05_C04,P022_3_S05_C04,22,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P022_3_S05_C04.csv,1,1,30.0,0.0,0.33,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P022_3_S05_C04.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P022_3_S05_C04.csv,log_age_capacity,1416,339560,7,472,1665613355.0,1675699468.0,5700.0,10192470.0,486.1837,472.3212,1,2.9410429438228967,472,2.0472663140845855,2.0472663140845855,2.9502,1.1101,472.3212,166.0,314.0,406.0,314.0,0
luh,luh_P023_1_S03_C04,P023_1_S03_C04,23,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P023_1_S03_C04.csv,1,1,30.0,0.0,1.0,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P023_1_S03_C04.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P023_1_S03_C04.csv,log_age_capacity,423,87489,3,145,1665613378.0,1668027974.0,5700.0,2630340.0,146.4393,145.4051,1,2.9479900303045867,145,2.0331984421999416,2.0331984421999416,2.957,1.1134,145.4051,62.0,82.0,102.0,82.0,0
luh,luh_P023_2_S04_C04,P023_2_S04_C04,23,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P023_2_S04_C04.csv,1,1,30.0,0.0,1.0,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P023_2_S04_C04.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P023_2_S04_C04.csv,log_age_capacity,400,88755,3,135,1665613491.0,1668027417.0,5700.0,2668320.0,135.5915,135.0119,1,2.942440355841548,135,1.8992126128014135,1.8992126128014135,2.9519,1.1109,135.0119,56.0,72.0,87.0,72.0,0
luh,luh_P023_3_S05_C03,P023_3_S05_C03,23,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cfg_extracted/cell_cfg_P023_3_S05_C03.csv,1,1,30.0,0.0,1.0,1.0,,,,"[""sd_block_id"", ""slave_id"", ""cell_id"", ""parameter_id"", ""parameter_nr"", ""cell_used"", ""cell_type"", ""t_sns_type"", ""age_type"", ""age_temp"", ""age_soc"", ""age_chg_rate"", ""age_dischg_rate"", ""age_profile"", ""V_max_cyc_V"", ""V_min_cyc_V"", ""V_max_cu_V"", ""V_min_cu_V"", ""I_chg_max_cyc_A"", ""I_dischg_max_cyc_A"", ""I_chg_max_cu_A"", ""I_dischg_max_cu_A"", ""I_chg_cutoff_cyc_A"", ""I_dischg_cutoff_cyc_A"", ""I_chg_cutoff_cu_A"", ""I_dischg_cutoff_cu_A"", ""I_chg_pulse_cu_A"", ""I_dischg_pulse_cu_A""]",ok,active,1,ok,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_eocv2_extracted/cell_eocv2_P023_3_S05_C03.csv,/content/drive/MyDrive/RADAR69GB/unzipped/10.35097-1947/data/dataset/cell_log_age_extracted/cell_log_age_30s_P023_3_S05_C03.csv,log_age_capacity,421,87411,3,140,1665613377.0,1668028850.0,5700.0,2628000.0,141.375,140.3514,1,2.947498176210032,140,2.026039928884294,2.026039928884294,2.9568,1.1144,140.3514,60.0,79.0,98.0,79.0,0
